Tamaño de la matriz,Número de Condición,Número de iteraciones,Tiempos LU,Errores LU,Tiempos JMat,Errores JMat,Tiempos GSMat,Errores GSMat,Tiempos JSum,Errores JSum,Tiempos GSSum,Errores GSSum
16,51.775,25,4e-06,1.92312e-14,1.6e-05,1.63142e+29,1.2e-05,3.83681e+126,5e-06,1.63142e+29,5e-06,3.83681e+126
16,64.2757,25,5e-06,2.34402e-14,1.6e-05,1.66188e+29,1.3e-05,2.78131e+123,6e-06,1.66188e+29,5e-06,2.78131e+123
16,113.056,25,4e-06,1.38961e-14,1.5e-05,3.76528e+20,1.2e-05,1.72815e+70,5e-06,3.76528e+20,5e-06,1.72815e+70
16,200.81,25,4e-06,1.40504e-13,1.6e-05,1.48096e+24,1.2e-05,3.08948e+75,5e-06,1.48096e+24,5e-06,3.08948e+75
16,57.723,25,4e-06,7.87241e-15,1.6e-05,6.31068e+22,1.2e-05,4.75047e+76,5e-06,6.31068e+22,5e-06,4.75047e+76
16,353.817,25,5e-06,1.11716e-13,1.5e-05,1.8932e+23,1.3e-05,2.49866e+75,5e-06,1.8932e+23,5e-06,2.49866e+75
16,119.21,25,5e-06,2.24037e-14,1.6e-05,7.20012e+24,1.2e-05,1.26185e+106,5e-06,7.20012e+24,5e-06,1.26185e+106
16,46.2662,25,4e-06,7.16035e-15,1.6e-05,4.97158e+28,1.2e-05,7.54584e+87,5e-06,4.97158e+28,5e-06,7.54584e+87
16,32.2346,25,5e-06,5.92608e-15,1.6e-05,6.66215e+17,1.3e-05,2.30685e+55,5e-06,6.66215e+17,5e-06,2.30685e+55
16,59.854,25,5e-06,3.16365e-15,1.6e-05,9.2298e+33,1.3e-05,3.34164e+112,5e-06,9.2298e+33,5e-06,3.34164e+112
16,85.1905,25,4e-06,3.40735e-14,1.6e-05,8.58867e+28,1.3e-05,5.8178e+91,5e-06,8.58867e+28,5e-06,5.8178e+91
16,84.6386,25,4e-06,1.70515e-14,1.6e-05,2.01724e+28,1.2e-05,1.37728e+109,5e-06,2.01724e+28,4e-06,1.37728e+109
16,70.0031,25,4e-06,3.05158e-14,1.4e-05,1.18465e+28,1.2e-05,1.34074e+121,5e-06,1.18465e+28,4e-06,1.34074e+121
16,105.774,25,4e-06,1.24743e-14,1.5e-05,9.10802e+34,1.2e-05,1.06857e+120,5e-06,9.10802e+34,4e-06,1.06857e+120
16,101.433,25,4e-06,2.17524e-14,1.4e-05,1.50943e+28,1.2e-05,1.04449e+123,5e-06,1.50943e+28,4e-06,1.04449e+123
16,118.193,25,1.6e-05,0,1.5e-05,2.0935e+28,1.2e-05,1.20762e+103,5e-06,2.0935e+28,4e-06,1.20762e+103
16,1511.58,25,4e-06,1.13554e-12,2.7e-05,1.12261e+32,1.2e-05,6.43381e+136,5e-06,1.12261e+32,4e-06,6.43381e+136
16,183.681,25,5e-06,1.11175e-13,1.6e-05,2.2135e+37,1.3e-05,5.73808e+140,5e-06,2.2135e+37,5e-06,5.73808e+140
16,96.3529,25,5e-06,3.8653e-14,1.7e-05,9.59993e+24,1.2e-05,6.80814e+93,2.1e-05,9.59993e+24,5e-06,6.80814e+93
16,60.3887,25,7e-06,1.14013e-14,2.7e-05,2.49591e+40,2.2e-05,inf,9e-06,2.49591e+40,2.2e-05,inf
16,54.4588,25,5e-06,1.42016e-14,1.7e-05,2.4827e+31,1.3e-05,1.33709e+98,5e-06,2.4827e+31,1.8e-05,1.33709e+98
16,92.6623,25,4e-06,0,1.6e-05,1.93469e+34,1.3e-05,4.6082e+151,5e-06,1.93469e+34,5e-06,4.6082e+151
16,50.5144,25,4e-06,3.10122e-15,1.6e-05,1.97507e+24,1.2e-05,6.98153e+77,5e-06,1.97507e+24,5e-06,6.98153e+77
16,202.826,25,1.8e-05,4.54297e-14,1.6e-05,3.55587e+22,1.3e-05,1.62239e+80,5e-06,3.55587e+22,5e-06,1.62239e+80
16,68.186,25,4e-06,6.14997e-15,1.6e-05,5.77678e+49,1.3e-05,3.45364e+148,5e-06,5.77678e+49,5e-06,3.45364e+148
16,460.681,25,5e-06,7.19809e-14,1.7e-05,4.86712e+23,1.3e-05,6.45127e+127,5e-06,4.86712e+23,5e-06,6.45127e+127
16,85.5155,25,4e-06,2.2949e-14,1.6e-05,3.8562e+33,5.3e-05,2.44335e+137,5e-06,3.8562e+33,5e-06,2.44335e+137
16,183.492,25,4e-06,1.35318e-13,1.6e-05,1.07022e+40,2.4e-05,2.39294e+139,5e-06,1.07022e+40,5e-06,2.39294e+139
16,148.868,25,4e-06,7.43156e-14,1.6e-05,3.54161e+28,1.3e-05,4.31813e+90,5e-06,3.54161e+28,5e-06,4.31813e+90
16,43.4518,25,4e-06,7.65301e-15,1.5e-05,2.11052e+32,1.3e-05,2.16097e+142,6e-06,2.11052e+32,5e-06,2.16097e+142
